GROUP,SITE NAME,ADDRESS
UaFAM,BELLA VISTA ,"12100 SHELDON STREET
SUN VALLEY, CA 91352
(34.23729735500007, -118.39641166099995)"
UaFAM,SIMPSON VILLAS (CHFA),"6927 SIMPSON AVE
LOS ANGELES, CA 91605
(34.19665061400008, -118.38897252999999)"
UaFAM,SYLMAR AVE.,"9363 Sylmar Ave
Panorama City, CA 91402
(34.24054218100002, -118.44720424399998)"
UaFAM,JUANITA APTS. (CHFA),"624 NORTH JUANITA AVE
LOS ANGELES, CA 90004
(34.08275101400005, -118.29047663299997)"
UaFAM,DANA APARTMENTS,"1461 DANA STREET
LOS ANGELES, CA 90007
(34.031608138000024, -118.29345988999995)"
UaFAM,BROWNING APARTMENTS (CHFA),"1104 BROWNING BLVD
LOS ANGELES, CA 90037
(34.01208272200006, -118.29426994399995)"
UaFAM,LAVETTA TERRACE ,"666 LAVETTA TERRACE
LOS ANGELES, CA 90025
(34.06996365700007, -118.25800550999998)"
UaFAM,CORONADO VILLAS (CHFA),"1640 NORTH CORONADO ST
LOS ANGELES, CA 90026
(34.086558902000036, -118.26371230099994)"
UaFAM,120th. STREET,"136 E 120th STREET
LOS ANGELES, CA 90061
(33.92369348900007, -118.27248951399997)"
UaFAM,MANHATTAN GARDENS (CHFA),"1424 S MANHATTAN PL
LOS ANGELES, CA 90019
(34.04560029600003, -118.31012649499996)"
UaFAM,120th. STREET,"819 E 120TH STREET
LOS ANGELES, CA 90061
(33.92375134900004, -118.25994729899998)"
UaFAM,120th. STREET,"312 W 120th STREET
LOS ANGELES, CA 90061
(33.92371307800005, -118.27877981999995)"
UaFAM,LACONIA,"732 LACONIA STREET
LOS ANGELES, CA 90044
(33.91758409100004, -118.28816054599997)"
UaFAM,120th. STREET,"140 E 120th STREET
LOS ANGELES, CA 90061
(33.92369348900007, -118.27229938699998)"
UaFAM,JEFFERSON VILLAS (CHFA),"1288 W JEFFERSON BLVD
LOS ANGELES, CA 90007
(34.025492978000045, -118.29415932499995)"
UaFAM,MCDONALD,"303 MCDONALD
WILMINGTON, CA 90744
(33.772468023000044, -118.27105261799994)"
UaFAM,APPERSON APARTMENTS (CHFA),"7418 APPERSON
TUJUNGA, CA 91042
(34.255933209000034, -118.29420887399999)"
UaFAM,Victoria AVE.,"6108 Victoria AVE
LOS ANGELES, CA 90043
(33.98423091900003, -118.33227680799996)"
UaFAM,HARBOR RIVERA,"222 S CABRILLO STREET
SAN PEDRO, CA 90731
(33.74174934300004, -118.29450616199995)"
SrPH,87TH STREET,"461 WEST 87TH STREET
LOS ANGELES, CA 90003
(33.95876779500003, -118.28235995999995)"
SrPH,DEL REY SQUARE,"11976 CULVER BLVD
LOS ANGELES, CA 90066
(33.99511191600004, -118.41754566199995)"
SrPH,LANKERSHIM,"6240 NORTH LANKERSHIM BLVD
NORTH HOLLYWOOD, CA 91606
(34.184147204000055, -118.38622203299997)"
SrPBS8,SIMPSON-SATICOY,"7540 SIMPSON AVE
NORTH HOLLYWOOD, CA 91605
(34.20755004800003, -118.38902668699996)"
SrPBS8,ARTHUR SNYDER/YOSEMITE,"1536 YOSEMITE DR
LOS ANGELES, CA 90041
(34.13286259800003, -118.19957081599995)"
SrPBS8,CALIFORNIA APARTMENTS,"609 CALIFORNIA AVENUE
VENICE, CA 90291
(33.99159860900005, -118.46544486499994)"
SrPBS8,WESTSIDE MANOR,"1224 S NORTON
LOS ANGELES, CA 90019
(34.04856626900005, -118.32335123299998)"
SrPBS8,GIBSON MANOR,"1501 E CENTURY BLVD
LOS ANGELES, CA 90002
(33.94571820300007, -118.24749997799995)"
